,ID,Sample.Name
1,110,JH310-12_AP
2,111,JH310-12_CP
3,109,JH310-12_FG
4,108,JH310-12_NG
5,114,JH313-15_AG
6,102,JH313-15_FD
7,118,JH313-15_MH
8,116,JH313-15_OF
9,106,JH310-12_BH
10,112,JH310-12_EB
11,107,JH310-12_MV
12,113,JH310-12_TS
13,117,JH313-15_DB
14,119,JH313-15_JB
15,115,JH313-15_NF
16,105,JH313-15_PH
